qc8sNE,40092552,杵島,,,,,,,行政地名/郡,佐賀県/肥前,33.163337,130.033138,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092552,旧5万分の1地形図 鹿島 (1902/12/28) 126-14-01
tgi8kn,40092553,杵島,,,,,,,行政地名/郡,佐賀県/肥前,33.145258,129.972623,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092553,旧5万分の1地形図 早岐 (記載なし) 132-02-01
wouko4,40092554,杵島,,,,,,,行政地名/郡,佐賀県/肥前,33.215732,129.960844,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092554,旧5万分の1地形図 大村 (1905/06/30) 132-03-01
zwG2sN,40092555,杵島,,,,,,,行政地名/郡,佐賀県/肥前,33.197935,130.016156,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092555,旧5万分の1地形図 武雄 (1902/12/28) 126-13-01
CESegu,40092556,佐賀,,,,,,,行政地名/郡,佐賀県/肥前,33.355989,130.275491,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092556,旧5万分の1地形図 背振山 (1904/03/30) 125-12-01
FN4qkc,40092557,佐賀,,,,,,,行政地名/郡,佐賀県/肥前,33.276918,130.248878,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092557,旧5万分の1地形図 武雄 (1902/12/28) 126-13-01
IUgC8U,40092558,佐賀,,,,,,,行政地名/郡,佐賀県/肥前,33.165893,130.3285,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092558,旧5万分の1地形図 柳河 (1903/03/30) 126-10-01
L2uksC,40092559,佐賀,,,,,,,行政地名/郡,佐賀県/肥前,33.251763,130.297572,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092559,旧5万分の1地形図 佐賀 (1902/12/28) 126-09-01
O6Ewgk,40092560,三養基,,,,,,,行政地名/郡,佐賀県/肥前,33.381707,130.470667,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092560,旧5万分の1地形図 背振山 (1904/03/30) 125-12-01
ReQI42,40092561,三養基,,,,,,,行政地名/郡,佐賀県/肥前,33.367934,130.509049,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092561,旧5万分の1地形図 甘木 (1904/03/30) 125-08-01
Un2U8K,40092562,三養基,,,,,,,行政地名/郡,佐賀県/肥前,33.312155,130.44318,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092562,旧5万分の1地形図 佐賀 (1902/12/28) 126-09-01
Xue6Ws,40092563,小城,,,,,,,行政地名/郡,佐賀県/肥前,33.459875,130.264002,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092563,旧5万分の1地形図 背振山 (1904/03/30) 125-12-01
0Cqi0a,40092564,小城,,,,,,,行政地名/郡,佐賀県/肥前,33.408702,130.184378,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092564,旧5万分の1地形図 浜崎 (1903/12/28) 125-16-01
3KC04S,40092565,小城,,,,,,,行政地名/郡,佐賀県/肥前,33.294335,130.200187,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092565,旧5万分の1地形図 武雄 (1902/12/28) 126-13-01
6SOcSz,40092566,西松浦,,,,,,,行政地名/郡,佐賀県/肥前,33.164111,129.901771,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092566,旧5万分の1地形図 早岐 (記載なし) 132-02-01
9WYSGh,40092567,西松浦,,,,,,,行政地名/郡,佐賀県/肥前,33.27499,129.880238,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092567,旧5万分の1地形図 大村 (1905/06/30) 132-03-01
c4a4uZ,40092568,西松浦,,,,,,,行政地名/郡,佐賀県/肥前,33.34152,129.958404,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092568,旧5万分の1地形図 唐津 (1902/12/28) 131-04-01
fcngyH,40092569,西松浦,,,,,,,行政地名/郡,佐賀県/肥前,33.369098,129.893566,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092569,旧5万分の1地形図 唐津 (1902/12/28) 131-04-01
ikyYCp,40092570,西松浦,,,,,,,行政地名/郡,佐賀県/肥前,33.296167,130.008128,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092570,旧5万分の1地形図 武雄 (1902/12/28) 126-13-01
lsKaq7,40092571,東松浦,,,,,,,行政地名/郡,佐賀県/肥前,33.536132,129.874699,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092571,旧5万分の1地形図 呼子 (1902/09/30) 131-03-01
oAWnuP,40092572,東松浦,,,,,,,行政地名/郡,佐賀県/肥前,33.332348,129.987566,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092572,旧5万分の1地形図 大村 (1905/06/30) 132-03-01
rI8yix,40092573,東松浦,,,,,,,行政地名/郡,佐賀県/肥前,33.448839,129.970687,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092573,旧5万分の1地形図 唐津 (1902/12/28) 131-04-01
uNieQe,40092574,東松浦,,,,,,,行政地名/郡,佐賀県/肥前,33.410731,130.07735,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092574,旧5万分の1地形図 浜崎 (1903/12/28) 125-16-01
xUuqUX,40092575,東松浦,,,,,,,行政地名/郡,佐賀県/肥前,33.315361,130.046412,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092575,旧5万分の1地形図 武雄 (1902/12/28) 126-13-01
A2IEeF,40092576,藤津,,,,,,,行政地名/郡,佐賀県/肥前,33.110305,130.09549,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092576,旧5万分の1地形図 鹿島 (1902/12/28) 126-14-01
DaUQim,40092577,藤津,,,,,,,行政地名/郡,佐賀県/肥前,32.984923,130.138124,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092577,旧5万分の1地形図 諫早 (1904/03/30) 126-15-01
Gi6265,40092578,藤津,,,,,,,行政地名/郡,佐賀県/肥前,33.090158,129.973473,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092578,旧5万分の1地形図 早岐 (記載なし) 132-02-01
JqieUM,40092579,神埼,,,,,,,行政地名/郡,佐賀県/肥前,33.41532,130.32521,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092579,旧5万分の1地形図 背振山 (1904/03/30) 125-12-01
NyuqYv,40092580,神埼,,,,,,,行政地名/郡,佐賀県/肥前,33.307678,130.372329,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092580,旧5万分の1地形図 佐賀 (1902/12/28) 126-09-01
PCECNc,40092581,伊万里町,,,,,,,行政地名/町,佐賀県/肥前,33.276752,129.878303,,,,,http://codh.rois.ac.jp/historical-gis/nihu-map/?id=40092581,旧5万分の1地形図 大村 (1905/06/30) 132-03-01
